id,name,repository,repository_url,forge_kind,forge_host,owner,homepage,description,status,decision_reason,primary_category,capabilities,das_focus,license_spdx,license_class,pypi,conda,julia,canonical_doi,reviewed_at,mirror_result,mirror_error,git_ref,commits,merges,first_commit_at,last_commit_at,authors,insertions,deletions,lines_total,lines_by_language,primary_language,stars,forks,contributors,contributors_basis,releases,created_at,pushed_at,forge_last_commit_at,latest_release_at,archived,visibility,language,has_docs,has_tests,has_ci,license_detected,pypi_downloads_30d,pypi_downloads_180d,conda_downloads_total,dependencies,practices,citations_total,canonical_citations,mirror_missing,git_missing,forge_missing,registry_missing,publications_missing,practices_missing,mirror_scanned_at,git_scanned_at,forge_scanned_at,registry_scanned_at,publications_scanned_at,practices_scanned_at
dasvader,DASVader.jl,marianoarnaiz/DASvader.jl,https://github.com/marianoarnaiz/DASvader.jl,github,github.com,marianoarnaiz,,"Julia framework for loading, processing, and analyzing DAS data.",included,Reusable DAS-specific Julia library with an MIT license.,core-framework,io;processing;visualization,das-native,MIT,osi-approved,,,DASVader,,2026-08-28,unchanged,,main,90,0,2024-12-02T16:08:03+01:00,2026-07-03T21:57:36+02:00,1,5558,675,4712,Julia=4712,Julia,7,1,1,"linked accounts, bots removed",0,2024-12-02T15:08:03Z,2026-07-03T19:57:37Z,2026-07-03T19:57:36Z,,False,public,Julia,False,False,False,MIT,,,,,readme=True;license_file=True;packaging=True;tests=False;ci=False;coverage=False;docs=False;examples=True;changelog=False;contributing=False;lint=False;typed=False,,,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:04:05+00:00,2026-08-28T12:56:10+00:00,2026-08-28T15:06:05+00:00,2026-08-28T15:03:55+00:00,2026-08-28T19:47:27+00:00
dasvader-ds,DASVaderDS.jl,marianoarnaiz/DASVaderDS.jl,https://github.com/marianoarnaiz/DASVaderDS.jl,github,github.com,marianoarnaiz,,"Julia detection, picking, and visualization tools for DAS data streams.",included,Reusable DAS-specific Julia library with an MIT license and a source tree distinct from DASVader.jl.,core-framework,detection;io;phase-picking;processing;visualization,das-native,MIT,osi-approved,,,,,2026-08-28,unchanged,,main,13,0,2025-05-20T14:52:26+02:00,2025-05-20T16:24:10+02:00,1,4962,94,4695,Julia=4695,Julia,0,0,1,"linked accounts, bots removed",0,2025-05-20T12:52:26Z,2025-05-20T14:24:11Z,2025-05-20T14:24:10Z,,False,public,Julia,False,False,False,MIT,,,,,readme=True;license_file=True;packaging=True;tests=False;ci=False;coverage=False;docs=False;examples=True;changelog=False;contributing=False;lint=False;typed=False,,,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:04:05+00:00,2026-08-28T12:56:12+00:00,2026-08-28T15:06:05+00:00,2026-08-28T15:03:55+00:00,2026-08-28T19:47:27+00:00
dasview,DASView,hetinghong/DASView,https://github.com/hetinghong/DASView,github,github.com,hetinghong,,Cross-platform desktop application for interactive DAS visualization and processing.,watchlist,"MIT licensed and clearly in scope, but the repository publishes only a README, a license, and screenshots; no source code is available to review or reuse.",visualization-annotation,desktop-application;processing;visualization,das-native,MIT,osi-approved,,,,,2026-08-28,unchanged,,main,11,0,2025-12-19T15:02:43+08:00,2025-12-27T12:17:49+08:00,1,379,35,,,,15,2,1,"linked accounts, bots removed",1,2025-12-19T07:02:43Z,2026-08-27T23:19:29Z,2026-08-27T23:19:29Z,2025-12-19T11:37:13Z,False,public,,False,False,False,MIT,,,,,readme=True;license_file=True;packaging=False;tests=False;ci=False;coverage=False;docs=False;examples=False;changelog=False;contributing=False;lint=False;typed=False,,,,lines=not_published,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:04:05+00:00,2026-08-28T12:56:14+00:00,2026-08-28T15:06:05+00:00,2026-08-28T15:03:55+00:00,2026-08-28T19:47:27+00:00
derzug,DerZug,DASDAE/derzug,https://github.com/DASDAE/derzug,github,github.com,DASDAE,,Interactive DFOS visualization and annotation application built on DASCore.,included,"Reusable DFOS application with GPL-3.0 licensing and PyPI and conda-forge releases; self-declared experimental, which the policy does not exclude.",visualization-annotation,annotation;desktop-application;processing;visualization,das-native,GPL-3.0-only,osi-approved,derzug,conda-forge/derzug,,,2026-08-28,unchanged,,main,57,0,2026-03-20T17:07:52+01:00,2026-08-13T17:11:16+02:00,1,108431,22962,75368,Python=75342;Shell=26,Python,4,0,1,"linked accounts, bots removed",11,2026-03-09T10:20:00Z,2026-08-13T15:12:12Z,2026-08-13T15:11:16Z,2026-08-13T15:12:13Z,False,public,Python,True,True,True,GPL-3.0,157,1532,2577,dascore;orange3;pyqt6;pyqtgraph;typer,readme=True;license_file=True;packaging=True;tests=True;ci=True;coverage=False;docs=True;examples=False;changelog=True;contributing=False;lint=True;typed=False,,,,,,,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:04:05+00:00,2026-08-28T12:56:16+00:00,2026-08-28T15:06:18+00:00,2026-08-28T15:03:55+00:00,2026-08-28T19:47:27+00:00
distpy,distpy,Schlumberger/distpy,https://github.com/Schlumberger/distpy,github,github.com,Schlumberger,,"Branched, scalable processing flows for distributed fiber-optic sensor data.",included,Reusable DAS processing package with an MIT license and PyPI releases.,processing,parallel-computing;pipelines;processing;visualization,das-native,MIT,osi-approved,distpy,,,,2026-08-28,unchanged,,master,64,2,2020-01-20T10:14:59+00:00,2022-11-08T21:54:37+00:00,3,94691,1964,7600,Jupyter=398;Python=7202,Python,40,20,2,"linked accounts, bots removed",0,2020-01-20T10:14:57Z,2022-11-08T21:56:35Z,2022-11-08T21:54:37Z,,False,public,Jupyter Notebook,True,False,False,MIT,53,1035,,h5py;matplotlib;numba;numpy;pandas;scikit-learn;scipy,readme=True;license_file=True;packaging=True;tests=True;ci=False;coverage=False;docs=True;examples=True;changelog=False;contributing=False;lint=False;typed=False,,,,,,conda_downloads_total=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:04:05+00:00,2026-08-28T12:56:18+00:00,2026-08-28T15:06:31+00:00,2026-08-28T15:03:55+00:00,2026-08-28T19:47:27+00:00
dss-analyzer,DSS_analyzer_Mariner,shenyaojin/DSS_analyzer_Mariner,https://github.com/shenyaojin/DSS_analyzer_Mariner,github,github.com,shenyaojin,,Distributed strain sensing processing tools for the Bakken Mariner project.,watchlist,OSI-licensed and archived by its author; the modality is distributed strain sensing rather than DAS.,processing,io;processing;strain-sensing,other-fiber,GPL-3.0-only,osi-approved,,,,,2026-08-28,unchanged,,main,53,3,2023-10-05T18:04:02-06:00,2025-01-31T14:03:53-07:00,1,4207,1942,1569,Python=1569,Python,3,0,1,"linked accounts, bots removed",0,2023-10-06T00:04:02Z,2025-01-31T21:03:53Z,2025-01-31T21:03:53Z,,True,public,Python,False,False,False,GPL-3.0,,,,,readme=True;license_file=True;packaging=False;tests=False;ci=False;coverage=False;docs=False;examples=False;changelog=False;contributing=False;lint=False;typed=False,,,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:04:05+00:00,2026-08-28T12:56:21+00:00,2026-08-28T15:06:31+00:00,2026-08-28T15:03:55+00:00,2026-08-28T19:47:27+00:00
dts-r,dts,jkennel/dts,https://github.com/jkennel/dts,github,github.com,jkennel,,R tools for reading and exploring distributed temperature sensing datasets.,watchlist,"The only R package found in this domain, but the modality is distributed temperature sensing rather than DAS, and no license file is published.",data-management,data-management;io;temperature-sensing,other-fiber,,unlicensed,,,,,2026-08-28,unchanged,,master,126,2,2018-07-26T11:30:01-04:00,2025-11-07T16:09:01-05:00,3,17334,3314,9454,C++=469;Python=465;R=8520,R,3,1,3,"linked accounts, bots removed",0,2021-09-01T14:00:34Z,2025-11-07T21:09:07Z,2025-11-07T21:09:01Z,,False,public,HTML,False,True,True,,,,,,readme=True;license_file=False;packaging=True;tests=True;ci=True;coverage=True;docs=True;examples=False;changelog=False;contributing=False;lint=False;typed=False,,,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:04:05+00:00,2026-08-28T12:56:23+00:00,2026-08-28T15:06:31+00:00,2026-08-28T15:03:55+00:00,2026-08-28T19:47:27+00:00
dtscalibration,python-dts-calibration,dtscalibration/python-dts-calibration,https://github.com/dtscalibration/python-dts-calibration,github,github.com,dtscalibration,https://python-dts-calibration.readthedocs.io,Loading and calibration of raw distributed temperature sensing measurements.,watchlist,"Mature, OSI-licensed DFOS package, but distributed temperature sensing is a different modality from DAS and is held out of the headline comparison.",processing,calibration;io;processing;temperature-sensing,other-fiber,BSD-3-Clause,osi-approved,dtscalibration,conda-forge/dtscalibration,,,2026-08-28,unchanged,,main,1002,131,2018-08-01T00:49:53+02:00,2026-05-06T12:40:38+02:00,6,751507,147712,16221,Jupyter=730;Python=15491,Python,43,22,5,"linked accounts, bots removed",32,2018-07-31T22:46:08Z,2026-05-07T09:43:35Z,2026-05-06T10:40:38Z,2024-09-13T13:30:15Z,False,public,Python,True,True,True,BSD-3-Clause,219,2170,985,dask;matplotlib;nc-time-axis;netcdf4;numpy;pandas;pyyaml;scipy;xarray;xmltodict,readme=True;license_file=True;packaging=True;tests=True;ci=True;coverage=True;docs=True;examples=True;changelog=True;contributing=True;lint=True;typed=True,,,,,,,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:04:06+00:00,2026-08-28T12:56:24+00:00,2026-08-28T15:06:44+00:00,2026-08-28T15:03:55+00:00,2026-08-28T19:47:27+00:00
dtsgui,DTSGUI,water/espd/hgb/DTSGUI,https://code.usgs.gov/water/espd/hgb/DTSGUI,gitlab,code.usgs.gov,water,,"Desktop program for parsing, processing, georeferencing, and visualizing fiber-optic distributed temperature sensing records.",watchlist,"Public-domain program with a setup.py and an API the paper documents for use outside its GUI, but distributed temperature sensing is a different modality from DAS and is held out of the headline comparison, as python-dts-calibration and pyfocs are.",visualization-annotation,desktop-application;io;processing;temperature-sensing;visualization,other-fiber,CC0-1.0,osi-approved,,,,10.1111/gwat.12974,2026-08-28,cloned,,master,48,1,2018-10-05T12:48:12-05:00,2026-03-04T20:22:06+00:00,2,1718940,502,8486,Python=8486,Python,,,,,,,,,,,,,,,,,,,,,readme=True;license_file=True;packaging=True;tests=False;ci=False;coverage=False;docs=True;examples=True;changelog=False;contributing=False;lint=False;typed=False,13,13,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,,,2026-08-28T14:52:55+00:00,2026-08-28T15:04:07+00:00,,2026-08-28T15:06:44+00:00,2026-08-28T15:03:56+00:00,2026-08-28T19:47:27+00:00
edgedas,EdgeDAS,DASDAE/edgedas,https://github.com/DASDAE/edgedas,github,github.com,DASDAE,,Announced edge-computing infrastructure for DAS data analysis.,excluded,"The repository carries a license but no published source, so there is nothing to review or reuse.",out-of-scope,,das-native,LGPL-2.1-only,osi-approved,,,,,2026-08-28,unchanged,,master,2,0,2026-07-22T09:04:16-06:00,2026-07-22T09:09:36-06:00,1,745,0,,,,,,,,,,,,,,,,,,,,,,,,readme=True;license_file=True;packaging=False;tests=False;ci=False;coverage=False;docs=False;examples=False;changelog=False;contributing=False;lint=False;typed=False,,,,lines=not_published,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:04:07+00:00,,2026-08-28T15:06:44+00:00,2026-08-28T15:03:56+00:00,2026-08-28T19:47:27+00:00
eqnet,EQNet / PhaseNet-DAS,AI4EPS/EQNet,https://github.com/AI4EPS/EQNet,github,github.com,AI4EPS,,Deep-learning earthquake detection and phase picking with DAS support.,included,"Reusable DAS phase-picking and detection models under a custom academic/commercial license, which is source-available rather than OSI-approved.",machine-learning-detection,detection;machine-learning;phase-picking;seismology,das-supporting,LicenseRef-Academic-Commercial,source-available,,,,,2026-08-28,unchanged,,main,265,9,2022-07-18T14:34:27-07:00,2026-08-17T23:44:45-07:00,3,45474,16593,21397,Jupyter=3511;Python=17852;Shell=34,Python,56,19,4,"linked accounts, bots removed",1,2022-07-18T21:30:56Z,2026-08-18T06:45:36Z,2026-08-18T06:44:45Z,2023-10-26T07:25:18Z,False,public,Jupyter Notebook,True,True,True,NOASSERTION,,,,,readme=True;license_file=True;packaging=True;tests=True;ci=True;coverage=False;docs=True;examples=True;changelog=False;contributing=False;lint=False;typed=False,,,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:04:08+00:00,2026-08-28T12:56:27+00:00,2026-08-28T15:06:44+00:00,2026-08-28T15:03:56+00:00,2026-08-28T19:47:27+00:00
eth-das-readers,ETH_DAS_readers,dcbowden/ETH_DAS_readers,https://github.com/dcbowden/ETH_DAS_readers,github,github.com,dcbowden,,Python readers for HDF5 DAS data in the Silixa and PRODML 2.1 header formats.,included,"Reusable DAS format readers published with no license file, which grants no reuse rights.",data-management,data-management;io,das-native,,unlicensed,,,,,2026-08-28,unchanged,,main,12,0,2023-01-31T16:31:06+01:00,2024-11-22T01:18:34+01:00,1,14351,865,2920,Jupyter=941;Python=1979,Python,7,0,1,"linked accounts, bots removed",0,2023-01-31T15:18:00Z,2024-11-22T00:18:41Z,2024-11-22T00:18:34Z,,False,public,Jupyter Notebook,False,False,False,,,,,,readme=True;license_file=False;packaging=False;tests=False;ci=False;coverage=False;docs=False;examples=True;changelog=False;contributing=False;lint=False;typed=False,,,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:04:09+00:00,2026-08-28T12:56:29+00:00,2026-08-28T15:06:44+00:00,2026-08-28T15:03:56+00:00,2026-08-28T19:47:27+00:00
exploredas,ExploreDAS,markewillis/ExploreDAS,https://github.com/markewillis/ExploreDAS,github,github.com,markewillis,,"MATLAB application for building earth models, forward modelling DAS and geophone data, and producing migrated images.",included,"MIT-licensed MATLAB application shipping ExploreDAS.mlappinstall with its source, so an application rather than tutorial material, on the same reading as Gridded-SlantStack. Written for the 2022 SEG short course and dormant since; the bundled SegyMAT copy carries its own upstream terms.",modeling,education;io;modeling;processing;visualization,das-native,MIT,osi-approved,,,,10.1190/1.9781560803850,2026-08-28,cloned,,main,7,0,2022-07-10T20:21:34-05:00,2022-07-13T13:31:26-05:00,1,25620,37,24750,MATLAB=24750,MATLAB,,,,,,,,,,,,,,,,,,,,,readme=True;license_file=True;packaging=True;tests=False;ci=False;coverage=False;docs=False;examples=False;changelog=False;contributing=False;lint=False;typed=False,35,35,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,,,2026-08-28T14:52:55+00:00,2026-08-28T15:04:09+00:00,,2026-08-28T15:06:44+00:00,2026-08-28T15:03:56+00:00,2026-08-28T19:47:27+00:00
farmdas,FarmDAS,Denolle-Lab/FarmDAS,https://github.com/Denolle-Lab/FarmDAS,github,github.com,Denolle-Lab,,Ambient-noise interferometry for monitoring soil hydrodynamics under farming practices.,included,"Reusable package with pyproject, tox, and GitHub Actions, developed by three authors over 100 commits. The CC BY-NC 4.0 licence is non-commercial and so source-available rather than open source.",application-domain,pipelines;processing;seismology,das-native,CC-BY-NC-4.0,source-available,,,,,2026-08-28,unchanged,,main,137,3,2023-06-26T10:13:19-07:00,2026-02-02T12:53:13-06:00,4,161169,112050,13863,Jupyter=12873;Python=990,Jupyter,7,0,2,"linked accounts, bots removed",0,2023-06-26T17:13:17Z,2026-02-02T18:54:18Z,2026-02-02T18:53:13Z,,False,public,Jupyter Notebook,False,False,True,NOASSERTION,,,,,readme=True;license_file=True;packaging=True;tests=False;ci=True;coverage=False;docs=False;examples=True;changelog=False;contributing=False;lint=False;typed=False,,,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:04:19+00:00,2026-08-28T12:56:31+00:00,2026-08-28T15:06:44+00:00,2026-08-28T15:03:56+00:00,2026-08-28T19:47:27+00:00
febustools,FebusTools.jl,anowacki/FebusTools.jl,https://github.com/anowacki/FebusTools.jl,github,github.com,anowacki,,Julia reader and conversion tools for Febus fibre-optic interrogator data.,included,Reusable DAS-specific Julia package with an MIT license.,data-management,conversion;io,das-native,MIT,osi-approved,,,,,2026-08-28,unchanged,,main,19,0,2023-01-25T17:51:19+00:00,2024-10-11T17:09:13+01:00,1,1049,108,353,Julia=353,Julia,0,0,1,"linked accounts, bots removed",0,2023-01-29T22:24:09Z,2024-10-11T16:42:08Z,2024-10-11T16:09:13Z,,False,public,Julia,True,True,True,MIT,,,,,readme=True;license_file=True;packaging=True;tests=True;ci=True;coverage=True;docs=True;examples=False;changelog=False;contributing=False;lint=False;typed=False,,,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:04:19+00:00,2026-08-28T12:56:33+00:00,2026-08-28T15:06:44+00:00,2026-08-28T15:03:56+00:00,2026-08-28T19:47:27+00:00
fiber-strain-modeling,horizontal-fracture-fiber-strain,Pengchao-He/horizontal-fracture-fiber-strain,https://github.com/Pengchao-He/horizontal-fracture-fiber-strain,github,github.com,Pengchao-He,,MATLAB strain and strain-rate modeling for horizontal shear fractures observed on monitoring fibers.,included,"Reusable MATLAB modeling library with an MIT license, a documented function guide, and a citation file.",modeling,modeling;processing;visualization,das-native,MIT,osi-approved,,,,,2026-08-28,unchanged,,main,1,0,2026-07-19T02:01:55-06:00,2026-07-19T02:01:55-06:00,1,2007,0,1800,MATLAB=1800,MATLAB,0,0,1,"linked accounts, bots removed",0,2026-07-19T08:02:08Z,2026-07-19T08:02:14Z,2026-07-19T08:01:55Z,,False,public,MATLAB,False,False,False,MIT,,,,,readme=True;license_file=True;packaging=False;tests=True;ci=False;coverage=False;docs=False;examples=True;changelog=False;contributing=False;lint=False;typed=False,,,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:04:19+00:00,2026-08-28T12:56:35+00:00,2026-08-28T15:06:44+00:00,2026-08-28T15:03:56+00:00,2026-08-28T19:47:27+00:00
fiberis,fibeRIS,shenyaojin/fibeRIS,https://github.com/shenyaojin/fibeRIS,github,github.com,shenyaojin,,"Analysis, simulation, and data management across fiber-optic sensing modalities.",watchlist,"OSI-licensed and actively developed, but it spans DTS, DSS, and gauge data rather than targeting DAS, so its scope overlap is still under review.",core-framework,data-management;data-model;io;modeling;processing,das-native,MIT,osi-approved,fiberis,,,,2026-08-28,unchanged,,main,313,17,2025-01-31T17:56:41-07:00,2026-07-21T10:47:10-05:00,3,48304,12062,21565,Jupyter=385;Python=21180,Python,2,1,3,"linked accounts, bots removed",0,2025-02-01T00:56:41Z,2026-07-21T15:47:16Z,2026-07-21T15:47:10Z,,False,public,Python,True,True,True,MIT,14,161,,h5py;matplotlib;meshio;numpy;pandas;plotly;python-dateutil;scipy,readme=True;license_file=True;packaging=True;tests=True;ci=True;coverage=True;docs=True;examples=True;changelog=False;contributing=False;lint=False;typed=True,,,,,,conda_downloads_total=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:04:20+00:00,2026-08-28T12:56:37+00:00,2026-08-28T18:55:45+00:00,2026-08-28T15:03:56+00:00,2026-08-28T19:47:27+00:00
fiberoptics-das-schemas,Fiberoptics DAS Public Schemas,equinor/fiberoptics-das-public-schemas,https://github.com/equinor/fiberoptics-das-public-schemas,github,github.com,equinor,,Avro schemas for communication between a DAS interrogator and a processing server.,included,"Reusable interoperability artifact: Apache-2.0 schemas released at version 2.0.5 with Java CI, aligned to the ProdML 2.0 standard, developed by eight authors since 2020.",interoperability,data-model;interoperability;metadata,das-native,Apache-2.0,osi-approved,,,,,2026-08-28,unchanged,,main,73,1,2020-02-05T08:38:18+01:00,2026-01-29T11:58:17+01:00,5,1936,510,175,Java=117;Shell=58,Java,1,0,3,"linked accounts, bots removed",0,2020-02-05T07:38:01Z,2026-01-29T10:58:17Z,2026-01-29T10:58:17Z,,False,public,Shell,False,False,True,Apache-2.0,,,,,readme=True;license_file=True;packaging=True;tests=False;ci=True;coverage=False;docs=False;examples=False;changelog=False;contributing=False;lint=False;typed=False,,,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:04:20+00:00,2026-08-28T12:56:38+00:00,2026-08-28T15:06:44+00:00,2026-08-28T15:03:56+00:00,2026-08-28T19:47:27+00:00
fiberwatch-cli,FiberWatch CLI,theBlackfish01/FiberWatchCLI,https://github.com/theBlackfish01/FiberWatchCLI,github,github.com,theBlackfish01,,Command-line training and evaluation of fault and event models for OTDR and DAS traces.,included,Reusable command-line toolkit for fiber-sensing data with an MIT license.,machine-learning-detection,detection;machine-learning;processing,das-native,MIT,osi-approved,,,,,2026-08-28,unchanged,,master,183,64,2025-07-07T01:50:09+05:00,2026-08-09T17:32:59+05:00,2,114977,22614,55057,Jupyter=1016;Python=54041,Python,8,0,1,"linked accounts, bots removed",0,2025-07-06T20:49:28Z,2026-08-09T12:32:59Z,2026-08-09T12:32:59Z,,False,public,Jupyter Notebook,False,False,False,MIT,,,,,readme=True;license_file=True;packaging=False;tests=True;ci=False;coverage=False;docs=False;examples=True;changelog=False;contributing=False;lint=False;typed=False,,,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:04:20+00:00,2026-08-28T12:56:41+00:00,2026-08-28T15:06:44+00:00,2026-08-28T15:03:56+00:00,2026-08-28T19:47:27+00:00
filark,FiLark,Guoguo828/fliark,https://github.com/Guoguo828/fliark,github,github.com,Guoguo828,,"Streaming-first exploration, annotation, and signal processing for large DAS recordings.",included,Reusable DAS-specific Python framework with an MIT license and a packaged module tree.,visualization-annotation,annotation;processing;streaming;visualization,das-native,MIT,osi-approved,filark,,,,2026-08-28,unchanged,,main,1,0,2026-01-25T11:15:45+08:00,2026-01-25T11:15:45+08:00,1,7541,0,6878,Python=6878,Python,0,0,1,"linked accounts, bots removed",0,2026-01-27T02:24:26Z,2026-01-25T03:15:48Z,2026-01-25T03:15:45Z,,False,public,,False,False,False,MIT,9,234,,h5py;matplotlib;numpy;pyside6;scipy;vispy,readme=True;license_file=True;packaging=True;tests=False;ci=False;coverage=False;docs=False;examples=False;changelog=False;contributing=False;lint=False;typed=False,,,,,,conda_downloads_total=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:04:20+00:00,2026-08-28T12:56:43+00:00,2026-08-28T18:57:59+00:00,2026-08-28T15:03:56+00:00,2026-08-28T19:47:27+00:00
fosanalysis,fosanalysis,TUD-IMB/fosanalysis,https://github.com/TUD-IMB/fosanalysis,github,github.com,TUD-IMB,https://tud-imb.github.io/fosanalysis/,Python framework for evaluating distributed fibre optic strain measurements and calculating crack widths in concrete structures.,watchlist,"OSI-licensed, PyPI-published DFOS package with a documented pre-processing pipeline, but distributed strain sensing is a different modality from DAS and is held out of the headline comparison, as python-dts-calibration is.",processing,io;processing;strain-sensing,other-fiber,GPL-3.0-only,osi-approved,fosanalysis,,,10.1002/suco.202300100,2026-08-28,cloned,,master,353,6,2022-05-10T15:52:10+02:00,2026-02-10T17:01:45+01:00,3,22805,12489,5737,Python=5737,Python,,,,,,,,,,,,,,,,,31,358,,brplotviz;numpy;scipy,readme=True;license_file=True;packaging=True;tests=False;ci=True;coverage=False;docs=False;examples=True;changelog=True;contributing=True;lint=False;typed=False,68,52,,,,conda_downloads_total=not_applicable,,,2026-08-28T14:52:55+00:00,2026-08-28T15:04:20+00:00,,2026-08-28T15:06:59+00:00,2026-08-28T15:04:21+00:00,2026-08-28T19:47:27+00:00
generic-cable,GenericCable,subsurface4d/GenericCable,https://github.com/subsurface4d/GenericCable,github,github.com,subsurface4d,,Forward and adjoint modeling for fiber-optic cable responses.,included,"Reusable DAS-specific modeling code published with no license file, which grants no reuse rights and is recorded as unlicensed rather than excluded.",modeling,inversion;modeling,das-native,,unlicensed,,,,,2026-08-28,unchanged,,main,9,0,2023-12-18T07:52:47-08:00,2024-08-07T08:41:21-05:00,1,13420,1747,2921,Jupyter=1762;Python=1159,Jupyter,22,6,1,"linked accounts, bots removed",0,2023-12-18T15:52:47Z,2024-08-07T13:41:22Z,2024-08-07T13:41:21Z,,False,public,Python,True,False,False,,,,,,readme=True;license_file=False;packaging=True;tests=False;ci=False;coverage=False;docs=False;examples=True;changelog=False;contributing=False;lint=True;typed=False,,,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:04:20+00:00,2026-08-28T12:56:44+00:00,2026-08-28T15:06:59+00:00,2026-08-28T15:04:21+00:00,2026-08-28T19:47:27+00:00
gridded-slant-stack,Gridded-SlantStack,zackspica/Gridded-SlantStack,https://github.com/zackspica/Gridded-SlantStack,github,github.com,zackspica,,MATLAB gridded slant-stack extraction of surface waves from DAS recordings.,included,Reusable MATLAB implementation of a DAS-specific method with an MIT license.,processing,processing;surface-waves;visualization,das-native,MIT,osi-approved,,,,,2026-08-28,unchanged,,main,17,0,2021-10-19T10:24:39-04:00,2021-10-19T15:13:15-04:00,1,1071,547,447,MATLAB=447,MATLAB,8,1,1,"linked accounts, bots removed",1,2021-10-19T14:24:38Z,2021-10-28T17:24:25Z,2021-10-19T19:13:15Z,2021-10-28T17:24:25Z,False,public,MATLAB,False,False,False,MIT,,,,,readme=True;license_file=True;packaging=False;tests=False;ci=False;coverage=False;docs=False;examples=False;changelog=False;contributing=False;lint=False;typed=False,,,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:04:21+00:00,2026-08-28T12:56:47+00:00,2026-08-28T15:06:59+00:00,2026-08-28T15:04:21+00:00,2026-08-28T19:47:27+00:00
